alert_id,location_name,latitude,longitude,alert_category,speed_kmh,obstacle_distance_m,road_condition,alert_message,safety_advice
ALT001,Ghatkesar Main Road,17.4440,78.6110,Good Driving,45,60,Clear,"Good Driving – Maintain Speed","Continue safe riding; maintain steady speed"
ALT002,Ghatkesar ORR Exit,17.4520,78.6200,Too Fast,105,70,Clear,"Overspeeding Detected","Reduce speed immediately; follow speed limits"
ALT003,Aushapur Road Bend,17.4600,78.6050,Go Slow,75,40,Fog,"Slow Down – Curve Ahead","Reduce speed near curves; maintain control"
ALT004,Ghanpur Village Junction,17.4300,78.6200,Obstacles Ahead,50,10,Clear,"Obstacle Detected Ahead","Apply brakes carefully; avoid sudden swerving"
ALT005,Outer Ring Road Stretch,17.4555,78.6090,Caution,65,35,Traffic,"Traffic Congestion Ahead","Maintain safe gap; avoid lane jumping"
ALT006,Ghatkesar Railway Road,17.4670,78.6010,Good Driving,55,80,Clear,"Safe Distance Maintained","Keep safe following distance"
ALT007,Ghatkesar NH163 Service Road,17.4700,78.6150,Too Fast,110,50,Clear,"Speed Limit Exceeded","Slow down immediately; follow traffic rules"
ALT008,Ghanpur Connecting Road,17.4330,78.6180,Go Slow,85,45,Wet,"Slippery Road – Go Slow","Drive slowly; avoid harsh braking"
ALT009,Ghatkesar ORR Median Zone,17.4550,78.6100,Obstacles Ahead,60,8,Clear,"Pothole Ahead","Slow down; avoid sudden turns"
ALT010,Ghatkesar Market Area,17.4570,78.6080,Caution,70,30,Traffic,"Accident Prone Zone","Stay alert; reduce distractions"
ALT011,Ghatkesar Flyover,17.4505,78.6205,Good Driving,50,65,Clear,"Smooth Braking Detected","Maintain smooth riding behavior"
ALT012,Ghatkesar School Zone,17.4615,78.6040,Go Slow,40,50,Clear,"School Zone – Reduce Speed","Drive slowly; watch for pedestrians"
ALT013,Ghatkesar Night Highway,17.4680,78.6120,Caution,75,35,Fog,"Low Visibility Area","Use headlights; reduce speed"
ALT014,Ghanpur Service Road,17.4310,78.6170,Obstacles Ahead,55,12,Traffic,"Vehicle Too Close","Increase following distance"
ALT015,Ghatkesar Sharp Curve,17.4620,78.6130,Too Fast,95,60,Clear,"Dangerous High Speed","Slow down before curve"
ALT016,Ghatkesar Rural Road,17.4580,78.6070,Go Slow,80,25,Wet,"Speed Breaker Ahead","Reduce speed; cross carefully"
ALT017,Ghatkesar Bridge Area,17.4530,78.6190,Caution,68,40,Clear,"Bridge Ahead – Drive Carefully","Avoid overtaking on bridge"
ALT018,Ghatkesar Bus Stop Area,17.4590,78.6100,Obstacles Ahead,45,9,Traffic,"Pedestrian Crossing Ahead","Be ready to stop"
ALT019,Ghanpur Main Junction,17.4320,78.6160,Too Fast,100,55,Clear,"Critical Overspeed Alert","Reduce throttle immediately"
ALT020,Ghatkesar Inner Road,17.4445,78.6125,Good Driving,52,70,Clear,"Ride Safe – Keep It Up","Continue disciplined riding"
ALT021,Ghatkesar Main Road 2,17.4450,78.6120,Good Driving,48,65,Clear,"Good Pace – Safety First","Great job maintaining speed"
ALT022,ORR Stretch 2,17.4530,78.6210,Too Fast,108,75,Clear,"High Speed Detected","Please reduce your speed"
ALT023,Aushapur Curve 2,17.4610,78.6060,Go Slow,72,42,Fog,"Caution – Sharp Turn Ahead","Slow down for the curve"
ALT024,Ghanpur Junction 2,17.4310,78.6210,Obstacles Ahead,52,12,Clear,"Watch Out – Debris on Road","Stay alert for obstacles"
ALT025,ORR Median Zone 2,17.4565,78.6100,Caution,62,38,Traffic,"Busy Traffic – Slow Down","Maintain distance in traffic"
ALT026,Ghatkesar Railway crossing 2,17.4680,78.6020,Good Driving,53,82,Clear,"Consistent Speed – Approved","Keep driving safely"
ALT027,NH163 Service 2,17.4710,78.6160,Too Fast,112,52,Clear,"Slow Down – Area Monitoring","Exceeding safe speed limits"
ALT028,Ghanpur Road Wet,17.4340,78.6190,Go Slow,82,48,Wet,"Wet Pavement – Drive Slow","Avoid slipping; reduce speed"
ALT029,ORR Median 3,17.4560,78.6110,Obstacles Ahead,58,10,Clear,"Narrow Lane – High Alert","Watch for narrow passages"
ALT030,Market Area 2,17.4580,78.6090,Caution,72,32,Traffic,"Crowded Area – Stay Alert","Watch for pedestrians and bikes"
ALT031,Flyover Section 2,17.4515,78.6215,Good Driving,52,68,Clear,"Smooth Ride – Well Done","Maintain this safe behavior"
ALT032,School Zone 2,17.4625,78.6050,Go Slow,42,52,Clear,"Active School Zone","Maximum attention required"
ALT033,Night Stretch 2,17.4690,78.6130,Caution,72,38,Fog,"Foggy Conditions – Slow Down","Visibility is low; use caution"
ALT034,Ghanpur Service 2,17.4320,78.6180,Obstacles Ahead,52,14,Traffic,"Distance Alert – Tailgating","Keep more distance from cars"
ALT035,Sharp Bend 2,17.4630,78.6140,Too Fast,92,62,Clear,"Limit Your Speed at Bends","Too fast for this curve"
ALT036,Rural Stretch 2,17.4590,78.6080,Go Slow,78,28,Wet,"Speed Hump Ahead","Slow down for speed breaker"
ALT037,Bridge Section 2,17.4540,78.6200,Caution,65,42,Clear,"No Overtaking Zone","Stay in your lane on bridge"
ALT038,Bus Stop 2,17.4600,78.6110,Obstacles Ahead,42,11,Traffic,"People Crossing Ahead","Slow down for commuters"
ALT039,Main Junction 3,17.4330,78.6170,Too Fast,102,58,Clear,"Violation – Overspeeding","Safety warning: reduce speed"
ALT040,Inner Road 2,17.4455,78.6135,Good Driving,54,72,Clear,"Steady Driving – Safe","Safe driving confirmed"
ALT041,Main Road 3,17.4460,78.6130,Good Driving,46,62,Clear,"Optimal Speed Maintained","Excellent speed management"
ALT042,ORR Exit 3,17.4540,78.6220,Too Fast,106,72,Clear,"Speed Warning – Slow Down","You are going too fast"
ALT043,Aushapur Bend 3,17.4620,78.6070,Go Slow,74,44,Fog,"Dangerous Curve – Go Slow","Slow down for safety"
ALT044,Ghanpur Junction 3,17.4320,78.6220,Obstacles Ahead,54,14,Clear,"Obstacle Warning – Alert","Stay focused on the road"
ALT045,ORR Median 4,17.4575,78.6110,Caution,64,40,Traffic,"Congestion Warning","Expect delays; move slowly"
ALT046,Railway Crossing 3,17.4690,78.6030,Good Driving,51,84,Clear,"Perfect Following Gap","Nice job on distance Control"
ALT047,NH163 Service 3,17.4720,78.6170,Too Fast,114,54,Clear,"Danger – Reduce Speed","Significant overspeeding"
ALT048,Ghanpur Road Slipped,17.4350,78.6200,Go Slow,84,50,Wet,"Low Traction – Slow Down","Road is slippery; reduce speed"
ALT049,ORR Median 5,17.4570,78.6120,Obstacles Ahead,56,12,Clear,"Road Works Ahead","Caution: men at work"
ALT050,Market Area 3,17.4590,78.6100,Caution,74,34,Traffic,"High Alert – High Traffic","Busy road detected"
